Rank,Model,Dataset,Accuracy,Precision,Recall,F1 Score,ROC-AUC,PR-AUC,Training Time,Prediction Time
1,Logistic Regression,Testing,0.8431603773584906,0.3888888888888889,0.05426356589147287,0.09523809523809523,0.695237787193669,0.2936662625791451,0.04488620000483934,0.017987900006119162
2,Random Forest,Testing,0.839622641509434,0.29411764705882354,0.03875968992248062,0.0684931506849315,0.6552436092333236,0.2341422698822812,0.5184681000100682,0.31247210000583436
3,Decision Tree,Testing,0.7311320754716981,0.17647058823529413,0.20930232558139536,0.19148936170212766,0.517029465989585,0.15721872338228843,0.02655609999783337,0.01840529999753926
